wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33588155389462138 47.67420875342155995),1398,yes,natural_monument,71231,PL.ZIPOP.1393.PP.1216103.2112,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216103.2112
Point (12.33588147486311115 47.67421081079356071),1541,yes,natural_monument,71114,PL.ZIPOP.1393.PP.1216032.2175,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216032.2175
Point (12.33588214104300462 47.67421043796007751),1586,yes,natural_monument,71160,PL.ZIPOP.1393.PP.1216082.2211,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216082.2211
Point (12.33588125666493873 47.67420983336150186),1583,yes,natural_monument,71159,PL.ZIPOP.1393.PP.1216082.2210,stone,Pomnik Niepodległości Polski,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216082.2210
Point (12.33588028044925089 47.67421024739262236),1716,yes,natural_monument,72433,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (12.33588028018119154 47.67421024751686076),1713,yes,natural_monument,72432,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (12.33588028054095886 47.67421024777154059),1714,yes,natural_monument,72431,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (12.33586694763805625 47.67420941271939228),1898,yes,natural_monument,72020,PL.ZIPOP.1393.PP.1261011.1097,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1097
Point (12.33586831281933982 47.67420881359652185),2006,yes,natural_monument,71850,PL.ZIPOP.1393.PP.1219053.2801,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1219053.2801
Point (12.33586819791070432 47.6742083527617595),125,yes,natural_monument,210384,PL.ZIPOP.1393.PP.1209013.3003,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1209013.3003
Point (12.33586848731156316 47.67421064410726927),3332,yes,natural_monument,68748,PL.ZIPOP.1393.PP.1206052.824,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206052.824
Point (12.33586646690419819 47.67421036462707917),3667,yes,natural_monument,69456,PL.ZIPOP.1393.PP.1206172.794,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206172.794
Point (12.3358652466212142 47.6742104273849634),3840,yes,natural_monument,69365,PL.ZIPOP.1393.PP.1206152.690,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.690
Point (12.33587540195716592 47.67420978678334365),2905,yes,natural_monument,67980,PL.ZIPOP.1393.PP.1202023.137,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1202023.137
